คลื่นความถี่ (MHz),ผู้ใช้คลื่นความถี่,การนำไปใช้งาน
108.3,กรมสื่อสารอิเล็กทรอนิกส์ทหารอากาศ กองทัพอากาศ,ติดต่อสื่อสารในการปฏิบัติงาน
108.7,กรมสื่อสารอิเล็กทรอนิกส์ทหารอากาศ กองทัพอากาศ,ติดต่อสื่อสารในการปฏิบัติงาน
108.75,กรมสื่อสารอิเล็กทรอนิกส์ทหารอากาศ กองทัพอากาศ,ติดต่อสื่อสารราชการ
109.1,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,Localizer
109.3,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,Localizer
109.5,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,nan
109.7,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,เครื่องช่วยการเดินอากาศ
109.9,"บริษัท วิทยุการบินแห่งประเทศไทย จำกัด, กรมสื่อสารอิเล็กทรอนิกส์ทหารอากาศ กองทัพอากาศ","ติดต่อสื่อสารในการปฏิบัติงาน, เครื่องช่วยการเดินอากาศ"
110.0,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,"Localizer, Doppler VHF Omnidirectional Range"
110.1,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,"Localizer, Doppler VHF Omnidirectional Range"
110.2,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,"Localizer, Doppler VHF Omnidirectional Range: DVOR"
110.3,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,"Localizer, Doppler VHF Omnidirectional Range"
110.4,กรมสื่อสารอิเล็กทรอนิกส์ทหารอากาศ กองทัพอากาศ,ติดต่อสื่อสารในการปฏิบัติงาน
110.5,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,Localizer
110.6,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,เครื่องช่วยเดินอากาศ DVOR
110.8,กรมสื่อสารทหารเรือ,ติดต่อสื่อสารราชการ
111.0,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,"Localizer, Doppler VHF Omnidirectional Range"
111.1,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,เครื่องช่วยการเดินอากาศ ILS/Localizer
111.2,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,"Localizer, Doppler VHF Omnidirectional Range"
111.4,"กรมสื่อสารอิเล็กทรอนิกส์ทหารอากาศ กองทัพอากาศ, บริษัท วิทยุการบินแห่งประเทศไทย จำกัด","ติดต่อสื่อสารในการปฏิบัติงาน, เครื่องช่วยการเดินอากาศ"
111.6,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,"Localizer, Doppler VHF Omnidirectional Range: DVOR"
111.8,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,"Localizer, Doppler VHF Omnidirectional Range"
111.9,กองการบินทหารเรือ กองทัพเรือ ,"Localizer, Doppler VHF Omnidirectional Range"
112.4,กรมสื่อสารอิเล็กทรอนิกส์ทหารอากาศ กองทัพอากาศ,ติดต่อสื่อสารในการปฏิบัติงาน
112.5,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,"Localizer, Doppler VHF Omnidirectional Range"
112.7,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,"Localizer, Doppler VHF Omnidirectional Range"
112.9,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,เครื่องช่วยเดินอากาศ
113.1,คท.11 จะจัดสรรให้บริษัท วิทยุการบินฯ,เครื่องช่วยเดินอากาศ
113.3,"กรมสื่อสารอิเล็กทรอนิกส์ทหารอากาศ กองทัพอากาศ, บริษัท วิทยุการบินแห่งประเทศไทย จำกัด","ติดต่อสื่อสารในการปฏิบัติงาน, เครื่องช่วยการเดินอากาศ"
113.4,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,"Localizer, Doppler VHF Omnidirectional Range: DVOR"
113.7,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,"Localizer, Doppler VHF Omnidirectional Range"
113.75,กรมสื่อสารอิเล็กทรอนิกส์ทหารอากาศ กองทัพอากาศ,ติดต่อสื่อสารราชการ
113.9,กรมสื่อสารอิเล็กทรอนิกส์ทหารอากาศ กองทัพอากาศ,ติดต่อสื่อสารในการปฏิบัติงาน
114.1,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,เครื่องช่วยการเดินอากาศ
114.2,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,เครื่องช่วยเดินอากาศ Droppler Very High Frequency Omni-Directional Rang: DVOR
114.3,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,nan
114.5,กรมสื่อสารอิเล็กทรอนิกส์ทหารอากาศ กองทัพอากาศ,ติดต่อสื่อสารในการปฏิบัติงาน
114.7,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,"Localizer, Doppler VHF Omnidirectional Range"
114.75,กรมสื่อสารอิเล็กทรอนิกส์ทหารอากาศ กองทัพอากาศ,ติดต่อสื่อสารราชการ
114.9,"กรมสื่อสารอิเล็กทรอนิกส์ทหารอากาศ กองทัพอากาศ, บริษัท วิทยุการบินแห่งประเทศไทย จำกัด","ติดต่อสื่อสารในการปฏิบัติงาน, เครื่องช่วยการเดินอากาศ"
115.1,กรมสื่อสารอิเล็กทรอนิกส์ทหารอากาศ กองทัพอากาศ,ติดต่อสื่อสารในการปฏิบัติงาน
115.3,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,เชื่อมโยงข้อมูลกับอากาศยาน
115.4,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,"Localizer, Doppler VHF Omnidirectional Range"
115.5,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,"Localizer, Doppler VHF Omnidirectional Range"
115.7,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,"Localizer, Doppler VHF Omnidirectional Range"
115.9,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,เครื่องช่วยการเดินอากาศ
116.0,กรมสื่อสารอิเล็กทรอนิกส์ทหารอากาศ กองทัพอากาศ,ติดต่อสื่อสารในการปฏิบัติงาน
116.025,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,Data Link
116.1,กรมสื่อสารอิเล็กทรอนิกส์ทหารอากาศ กองทัพอากาศ,ติดต่อสื่อสารในการปฏิบัติงาน
116.25,กรมสื่อสารอิเล็กทรอนิกส์ทหารอากาศ กองทัพอากาศ,ติดต่อสื่อสารราชการ
116.3,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,"Localizer, Doppler VHF Omnidirectional Range"
116.5,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,เครื่องช่วยการเดินอากาศ DVOR
116.6,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,"Localizer, Doppler VHF Omnidirectional Range"
116.7,"บริษัท วิทยุการบินแห่งประเทศไทย จำกัด, กรมสื่อสารอิเล็กทรอนิกส์ทหารอากาศ กองทัพอากาศ","ติดต่อสื่อสารในการปฏิบัติงาน, Localizer, Doppler VHF Omnidirectional Range"
116.8,กรมสื่อสารอิเล็กทรอนิกส์ทหารอากาศ กองทัพอากาศ,เครื่องช่วยเดินอากาศ DVOR/DME
116.9,"กรมสื่อสารอิเล็กทรอนิกส์ทหารอากาศ กองทัพอากาศ, บริษัท วิทยุการบินแห่งประเทศไทย จำกัด","ควบคุมจราจรทางอากาศ, ติดต่อสื่อสารราชการ"
117.0,กรมฝนหลวงและการบินเกษตร,เครื่องช่วยเดินอากาศ DVOR/DME
117.2,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,"Localizer, Doppler VHF Omnidirectional Range"
117.3,กรมการทหารสื่อสาร กองทัพบก,เครื่องช่วยการเดินอากาศ (DVOR)
117.4,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,"Localizer, Doppler VHF Omnidirectional Range"
117.6,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,เครื่องช่วยการเดินอากาศ DVOR
117.7,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,เครื่องช่วยการเดินอากาศ DVOR
118.05,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
118.075,"บริษัท กรุงเทพดุสิตเวชการ จำกัด (มหาชน), บริษื กรุงเทพดุสิตเวชการ จำกัด (มหาชน), บริษัท กรุงเทพดุสิตเวชการ จำกัด (มหาชน)",ติดต่อสื่อสารระหว่างอากาศยานและที่ขึ้นลงชั่วคราว
